dmonth,dyear,Longitude,Latitude,species,NumMosquitos,AbsPres
5,2007,-87.800991,41.95469,CULEX PIPIENS,0,Absence
5,2007,-87.800991,41.95469,CULEX RESTUANS,0,Absence
5,2007,-87.800991,41.95469,CULEX PIPIENS/RESTUANS,0,Absence
5,2007,-87.800991,41.95469,CULEX SALINARIUS,0,Absence
5,2007,-87.800991,41.95469,CULEX TARSALIS,0,Absence
5,2007,-87.800991,41.95469,CULEX TERRITANS,0,Absence
6,2007,-87.800991,41.95469,CULEX PIPIENS,0,Absence
6,2007,-87.800991,41.95469,CULEX RESTUANS,0,Absence
6,2007,-87.800991,41.95469,CULEX PIPIENS/RESTUANS,0,Absence
6,2007,-87.800991,41.95469,CULEX SALINARIUS,0,Absence
6,2007,-87.800991,41.95469,CULEX TARSALIS,0,Absence
6,2007,-87.800991,41.95469,CULEX TERRITANS,0,Absence
7,2007,-87.800991,41.95469,CULEX PIPIENS,0,Absence
7,2007,-87.800991,41.95469,CULEX RESTUANS,0,Absence
7,2007,-87.800991,41.95469,CULEX PIPIENS/RESTUANS,0,Absence
7,2007,-87.800991,41.95469,CULEX SALINARIUS,0,Absence
7,2007,-87.800991,41.95469,CULEX TARSALIS,0,Absence
7,2007,-87.800991,41.95469,CULEX TERRITANS,0,Absence
8,2007,-87.800991,41.95469,CULEX PIPIENS,0,Absence
8,2007,-87.800991,41.95469,CULEX RESTUANS,0,Absence
8,2007,-87.800991,41.95469,CULEX PIPIENS/RESTUANS,0,Absence
8,2007,-87.800991,41.95469,CULEX SALINARIUS,0,Absence
8,2007,-87.800991,41.95469,CULEX TARSALIS,0,Absence
8,2007,-87.800991,41.95469,CULEX TERRITANS,0,Absence
9,2007,-87.800991,41.95469,CULEX PIPIENS,0,Absence
9,2007,-87.800991,41.95469,CULEX RESTUANS,0,Absence
9,2007,-87.800991,41.95469,CULEX PIPIENS/RESTUANS,0,Absence
9,2007,-87.800991,41.95469,CULEX SALINARIUS,0,Absence
9,2007,-87.800991,41.95469,CULEX TARSALIS,0,Absence
9,2007,-87.800991,41.95469,CULEX TERRITANS,0,Absence
10,2007,-87.800991,41.95469,CULEX PIPIENS,0,Absence
10,2007,-87.800991,41.95469,CULEX RESTUANS,0,Absence
10,2007,-87.800991,41.95469,CULEX PIPIENS/RESTUANS,0,Absence
10,2007,-87.800991,41.95469,CULEX SALINARIUS,0,Absence
10,2007,-87.800991,41.95469,CULEX TARSALIS,0,Absence
10,2007,-87.800991,41.95469,CULEX TERRITANS,0,Absence
5,2009,-87.800991,41.95469,CULEX PIPIENS,0,Absence
5,2009,-87.800991,41.95469,CULEX RESTUANS,0,Absence
5,2009,-87.800991,41.95469,CULEX PIPIENS/RESTUANS,0,Absence
5,2009,-87.800991,41.95469,CULEX SALINARIUS,0,Absence
5,2009,-87.800991,41.95469,CULEX TARSALIS,0,Absence
5,2009,-87.800991,41.95469,CULEX TERRITANS,0,Absence
6,2009,-87.800991,41.95469,CULEX PIPIENS,0,Absence
6,2009,-87.800991,41.95469,CULEX RESTUANS,0,Absence
6,2009,-87.800991,41.95469,CULEX PIPIENS/RESTUANS,0,Absence
6,2009,-87.800991,41.95469,CULEX SALINARIUS,0,Absence
6,2009,-87.800991,41.95469,CULEX TARSALIS,0,Absence
6,2009,-87.800991,41.95469,CULEX TERRITANS,0,Absence
7,2009,-87.800991,41.95469,CULEX PIPIENS,0,Absence
7,2009,-87.800991,41.95469,CULEX RESTUANS,0,Absence
7,2009,-87.800991,41.95469,CULEX PIPIENS/RESTUANS,0,Absence
7,2009,-87.800991,41.95469,CULEX SALINARIUS,0,Absence
7,2009,-87.800991,41.95469,CULEX TARSALIS,0,Absence
7,2009,-87.800991,41.95469,CULEX TERRITANS,0,Absence
8,2009,-87.800991,41.95469,CULEX PIPIENS,0,Absence
8,2009,-87.800991,41.95469,CULEX RESTUANS,0,Absence
8,2009,-87.800991,41.95469,CULEX PIPIENS/RESTUANS,0,Absence
8,2009,-87.800991,41.95469,CULEX SALINARIUS,0,Absence
8,2009,-87.800991,41.95469,CULEX TARSALIS,0,Absence
8,2009,-87.800991,41.95469,CULEX TERRITANS,0,Absence
9,2009,-87.800991,41.95469,CULEX PIPIENS,0,Absence
9,2009,-87.800991,41.95469,CULEX RESTUANS,0,Absence
9,2009,-87.800991,41.95469,CULEX PIPIENS/RESTUANS,0,Absence
9,2009,-87.800991,41.95469,CULEX SALINARIUS,0,Absence
9,2009,-87.800991,41.95469,CULEX TARSALIS,0,Absence
9,2009,-87.800991,41.95469,CULEX TERRITANS,0,Absence
10,2009,-87.800991,41.95469,CULEX PIPIENS,0,Absence
10,2009,-87.800991,41.95469,CULEX RESTUANS,0,Absence
10,2009,-87.800991,41.95469,CULEX PIPIENS/RESTUANS,0,Absence
10,2009,-87.800991,41.95469,CULEX SALINARIUS,0,Absence
10,2009,-87.800991,41.95469,CULEX TARSALIS,0,Absence
10,2009,-87.800991,41.95469,CULEX TERRITANS,0,Absence
5,2011,-87.800991,41.95469,CULEX PIPIENS,0,Absence
5,2011,-87.800991,41.95469,CULEX RESTUANS,0,Absence
5,2011,-87.800991,41.95469,CULEX PIPIENS/RESTUANS,0,Absence
5,2011,-87.800991,41.95469,CULEX SALINARIUS,0,Absence
5,2011,-87.800991,41.95469,CULEX TARSALIS,0,Absence
5,2011,-87.800991,41.95469,CULEX TERRITANS,0,Absence
6,2011,-87.800991,41.95469,CULEX PIPIENS,0,Absence
6,2011,-87.800991,41.95469,CULEX RESTUANS,0,Absence
6,2011,-87.800991,41.95469,CULEX PIPIENS/RESTUANS,0,Absence
6,2011,-87.800991,41.95469,CULEX SALINARIUS,0,Absence
6,2011,-87.800991,41.95469,CULEX TARSALIS,0,Absence
6,2011,-87.800991,41.95469,CULEX TERRITANS,0,Absence
7,2011,-87.800991,41.95469,CULEX PIPIENS,0,Absence
7,2011,-87.800991,41.95469,CULEX RESTUANS,0,Absence
7,2011,-87.800991,41.95469,CULEX PIPIENS/RESTUANS,0,Absence
7,2011,-87.800991,41.95469,CULEX SALINARIUS,0,Absence
7,2011,-87.800991,41.95469,CULEX TARSALIS,0,Absence
7,2011,-87.800991,41.95469,CULEX TERRITANS,0,Absence
8,2011,-87.800991,41.95469,CULEX PIPIENS,0,Absence
8,2011,-87.800991,41.95469,CULEX RESTUANS,0,Absence
8,2011,-87.800991,41.95469,CULEX PIPIENS/RESTUANS,0,Absence
8,2011,-87.800991,41.95469,CULEX SALINARIUS,0,Absence
8,2011,-87.800991,41.95469,CULEX TARSALIS,0,Absence
8,2011,-87.800991,41.95469,CULEX TERRITANS,0,Absence
9,2011,-87.800991,41.95469,CULEX PIPIENS,0,Absence
9,2011,-87.800991,41.95469,CULEX RESTUANS,0,Absence
9,2011,-87.800991,41.95469,CULEX PIPIENS/RESTUANS,0,Absence
9,2011,-87.800991,41.95469,CULEX SALINARIUS,0,Absence
9,2011,-87.800991,41.95469,CULEX TARSALIS,0,Absence
9,2011,-87.800991,41.95469,CULEX TERRITANS,0,Absence
10,2011,-87.800991,41.95469,CULEX PIPIENS,0,Absence
10,2011,-87.800991,41.95469,CULEX RESTUANS,0,Absence
10,2011,-87.800991,41.95469,CULEX PIPIENS/RESTUANS,0,Absence
10,2011,-87.800991,41.95469,CULEX SALINARIUS,0,Absence
10,2011,-87.800991,41.95469,CULEX TARSALIS,0,Absence
10,2011,-87.800991,41.95469,CULEX TERRITANS,0,Absence
5,2013,-87.800991,41.95469,CULEX PIPIENS,0,Absence
5,2013,-87.800991,41.95469,CULEX RESTUANS,0,Absence
5,2013,-87.800991,41.95469,CULEX PIPIENS/RESTUANS,0,Absence
5,2013,-87.800991,41.95469,CULEX SALINARIUS,0,Absence
5,2013,-87.800991,41.95469,CULEX TARSALIS,0,Absence
5,2013,-87.800991,41.95469,CULEX TERRITANS,0,Absence
6,2013,-87.800991,41.95469,CULEX PIPIENS,0,Absence
6,2013,-87.800991,41.95469,CULEX RESTUANS,0,Absence
6,2013,-87.800991,41.95469,CULEX PIPIENS/RESTUANS,0,Absence
6,2013,-87.800991,41.95469,CULEX SALINARIUS,0,Absence
6,2013,-87.800991,41.95469,CULEX TARSALIS,0,Absence
6,2013,-87.800991,41.95469,CULEX TERRITANS,0,Absence
7,2013,-87.800991,41.95469,CULEX PIPIENS,0,Absence
7,2013,-87.800991,41.95469,CULEX RESTUANS,0,Absence
7,2013,-87.800991,41.95469,CULEX PIPIENS/RESTUANS,0,Absence
7,2013,-87.800991,41.95469,CULEX SALINARIUS,0,Absence
7,2013,-87.800991,41.95469,CULEX TARSALIS,0,Absence
7,2013,-87.800991,41.95469,CULEX TERRITANS,0,Absence
8,2013,-87.800991,41.95469,CULEX PIPIENS,0,Absence
8,2013,-87.800991,41.95469,CULEX RESTUANS,0,Absence
8,2013,-87.800991,41.95469,CULEX PIPIENS/RESTUANS,0,Absence
8,2013,-87.800991,41.95469,CULEX SALINARIUS,0,Absence
8,2013,-87.800991,41.95469,CULEX TARSALIS,0,Absence
8,2013,-87.800991,41.95469,CULEX TERRITANS,0,Absence
9,2013,-87.800991,41.95469,CULEX PIPIENS,0,Absence
9,2013,-87.800991,41.95469,CULEX RESTUANS,0,Absence
9,2013,-87.800991,41.95469,CULEX PIPIENS/RESTUANS,0,Absence
9,2013,-87.800991,41.95469,CULEX SALINARIUS,0,Absence
9,2013,-87.800991,41.95469,CULEX TARSALIS,0,Absence
9,2013,-87.800991,41.95469,CULEX TERRITANS,0,Absence
10,2013,-87.800991,41.95469,CULEX PIPIENS,0,Absence
10,2013,-87.800991,41.95469,CULEX RESTUANS,0,Absence
10,2013,-87.800991,41.95469,CULEX PIPIENS/RESTUANS,0,Absence
10,2013,-87.800991,41.95469,CULEX SALINARIUS,0,Absence
10,2013,-87.800991,41.95469,CULEX TARSALIS,0,Absence
10,2013,-87.800991,41.95469,CULEX TERRITANS,0,Absence